Hours,Load_Profile
1,46.77639766
2,44.91044259
3,43.04448751
4,41.17853243
5,39.31257735
6,37.44662227
7,35.5806672
8,34.88175752
9,34.29066549
10,33.69957347
11,33.10848144
13,31.37002138
14,30.17719204
15,28.9843627
17,27.00728825
18,26.50056867
19,25.99384909
21,31.14781182
23,47.45120571
24,47.70357939
25,47.95595306
27,46.65187828
28,44.93905044
29,43.2262226
30,41.51339476
31,39.80056692
32,38.08773908
33,36.37491125
34,34.66208341
36,32.97323419
37,33.11712137
40,28.57700101
41,27.72398494
42,26.87096887
44,28.13777688
45,31.06260213
46,33.98742738
47,36.91225263
48,39.83707788
49,42.76190313
51,47.25184075
52,45.66274745
53,44.07365415
54,42.48456084
55,40.89546754
56,39.30637424
57,37.71728094
58,36.12818763
59,34.53909433
61,31.6120053
62,30.50776728
63,29.40352926
65,27.4244743
66,26.78150347
68,26.9246288
69,29.76766733
70,32.61070586
71,35.45374439
72,38.29678292
73,41.13982145
74,43.98285998
76,46.99639755
77,45.16885806
78,43.34131857
79,41.51377907
80,39.68623958
81,37.85870009
82,36.0311606
84,34.19611044
86,34.19414299
87,32.56979374
91,30.7049654
92,34.05065507
93,37.39634473
94,40.74203439
96,45.6423814
97,46.0549891
98,46.46759681
99,46.88020452
101,46.21709947
102,44.53807599
103,42.85905251
104,41.18002904
105,39.50100556
106,37.82198208
108,35.58231947
109,36.19342704
110,36.80453461
111,37.41564218
112,38.02674975
113,38.63785732
116,38.82267419
117,39.96127349
118,41.09987279
119,42.23847209
120,43.37707139
121,44.5156707
122,45.65427
123,46.7928693
125,47.37104221
126,45.7221971
127,44.073352
128,42.42450689
129,40.77566179
131,37.83428797
132,37.36426328
133,36.89423858
135,36.27294617
136,36.97306431
137,37.67318245
138,38.37330059
140,40.04838651
141,41.02938871
142,42.01039092
143,42.99139312
144,43.97239533
145,44.95339754
146,45.93439974
148,46.87957376
149,45.37228076
150,43.86498775
151,42.35769475
152,40.85040174
154,38.26937172
155,37.73157036
156,37.19376901
157,36.65596765
158,36.1181663
161,34.26128571
162,35.18420662
163,36.10712752
166,35.11211779
167,40.21280511