Population,Income
0.00000001,100
0.02,15859.15
0.04,20234.75333
0.06,22849.23
0.08,24959.30961
0.1,26606.69524
0.12,28180.244
0.14,29900
0.16,31387.2
0.18,32711.20816
0.2,33748
0.22,35352
0.24,36717.15417
0.26,37852.65025
0.28,38894.5619
0.3,39997.88462
0.32,40821.70394
0.34,42310.71538
0.36,43368.99793
0.38,44598.19624
0.4,45839
0.42,46940.4605
0.44,48111.13385
0.46,49349.76096
0.48,50532.00833
0.5,51730.19524
0.52,53005.92261
0.54,54121.16516
0.56,55368.4
0.58,56660.18635
0.6,58150
0.62,59630.72
0.64,61237.37622
0.66,62842.08
0.68,64368.31486
0.7,66066.37085
0.72,68009.38981
0.74,70020.82651
0.76,72123.44567
0.78,74437.6731
0.8,76988
0.82,80072.23317
0.84,82802.38262
0.86,86442.53
0.88,90587.01889
0.9,95766.73889
0.92,102671.9125
0.94,111186.5291
0.96,125573.99
0.98,156510.6733